2021-05-21 15:55:00.262 -INFO 32682 [           main] com.tsinghua.course.CourseApplication : Starting CourseApplication using Java 15.0.1 on wujun-MacBookPro.local with PID 32682 (/Users/wujun/Desktop/mobile_application/BackEnd/course/target/classes started by wujun in /Users/wujun/Desktop/mobile_application/BackEnd/course)
2021-05-21 15:55:00.263 -INFO 32682 [           main] com.tsinghua.course.CourseApplication : No active profile set, falling back to default profiles: default
2021-05-21 15:55:02.216 -INFO 32682 [           main] com.tsinghua.course.CourseApplication : Started CourseApplication in 2.207 seconds (JVM running for 3.05)
2021-05-21 16:45:13.946 -INFO 1077 [           main] com.tsinghua.course.CourseApplication : Starting CourseApplication using Java 15.0.1 on wujun-MacBookPro.local with PID 1077 (/Users/wujun/Desktop/mobile_application/BackEnd/course/target/classes started by wujun in /Users/wujun/Desktop/mobile_application/BackEnd/course)
2021-05-21 16:45:13.950 -INFO 1077 [           main] com.tsinghua.course.CourseApplication : No active profile set, falling back to default profiles: default
2021-05-21 16:45:15.667 -INFO 1077 [           main] com.tsinghua.course.CourseApplication : Started CourseApplication in 1.93 seconds (JVM running for 2.416)
2021-05-21 16:48:51.046 -INFO 1093 [           main] com.tsinghua.course.CourseApplication : Starting CourseApplication using Java 15.0.1 on wujun-MacBookPro.local with PID 1093 (/Users/wujun/Desktop/mobile_application/BackEnd/course/target/classes started by wujun in /Users/wujun/Desktop/mobile_application/BackEnd/course)
2021-05-21 16:48:51.047 -INFO 1093 [           main] com.tsinghua.course.CourseApplication : No active profile set, falling back to default profiles: default
2021-05-21 16:48:52.924 -INFO 1093 [           main] com.tsinghua.course.CourseApplication : Started CourseApplication in 2.081 seconds (JVM running for 2.704)
2021-05-21 16:49:17.405 -INFO 1100 [           main] com.tsinghua.course.CourseApplication : Starting CourseApplication using Java 15.0.1 on wujun-MacBookPro.local with PID 1100 (/Users/wujun/Desktop/mobile_application/BackEnd/course/target/classes started by wujun in /Users/wujun/Desktop/mobile_application/BackEnd/course)
2021-05-21 16:49:17.407 -INFO 1100 [           main] com.tsinghua.course.CourseApplication : No active profile set, falling back to default profiles: default
2021-05-21 16:49:19.080 -INFO 1100 [           main] com.tsinghua.course.CourseApplication : Started CourseApplication in 1.897 seconds (JVM running for 2.562)
2021-05-21 16:53:15.399 -INFO 1132 [           main] com.tsinghua.course.CourseApplication : Starting CourseApplication using Java 15.0.1 on wujun-MacBookPro.local with PID 1132 (/Users/wujun/Desktop/mobile_application/BackEnd/course/target/classes started by wujun in /Users/wujun/Desktop/mobile_application/BackEnd/course)
2021-05-21 16:53:15.401 -INFO 1132 [           main] com.tsinghua.course.CourseApplication : No active profile set, falling back to default profiles: default
2021-05-21 16:53:17.192 -INFO 1132 [           main] com.tsinghua.course.CourseApplication : Started CourseApplication in 1.999 seconds (JVM running for 2.465)
2021-05-21 16:58:51.753 -INFO 1149 [           main] com.tsinghua.course.CourseApplication : Starting CourseApplication using Java 15.0.1 on wujun-MacBookPro.local with PID 1149 (/Users/wujun/Desktop/mobile_application/BackEnd/course/target/classes started by wujun in /Users/wujun/Desktop/mobile_application/BackEnd/course)
2021-05-21 16:58:51.755 -INFO 1149 [           main] com.tsinghua.course.CourseApplication : No active profile set, falling back to default profiles: default
2021-05-21 16:58:53.359 -INFO 1149 [           main] com.tsinghua.course.CourseApplication : Started CourseApplication in 1.771 seconds (JVM running for 2.441)
