2021-06-13 00:28:40.448 -WARN 8345 [ntLoopGroup-6-5] com.tsinghua.course.CourseApplication : null-USER_AVATAR-{"avatar":"file-IMG_20210611_053219.jpg","bizType":"USER_AVATAR"}-UserWarn002-com.tsinghua.course.Biz.Controller.UserController$$EnhancerBySpringCGLIB$$3ed0cd2b#userUploadAvatar#-1/
2021-06-13 00:29:54.326 -WARN 8425 [ntLoopGroup-7-5] com.tsinghua.course.CourseApplication : null-USER_AVATAR-{"avatar":"file-IMG_20210611_053219.jpg","bizType":"USER_AVATAR"}-UserWarn002-com.tsinghua.course.Biz.Controller.UserController$$EnhancerBySpringCGLIB$$7da12d1f#userUploadAvatar#-1/
2021-06-13 00:34:26.419 -WARN 8425 [tLoopGroup-7-10] com.tsinghua.course.CourseApplication : null-USER_AVATAR-{"avatar":"file-IMG_20210611_053219.jpg","bizType":"USER_AVATAR"}-UserWarn002-com.tsinghua.course.Biz.Controller.UserController$$EnhancerBySpringCGLIB$$7da12d1f#userUploadAvatar#-1/
2021-06-13 00:37:12.330 -WARN 8558 [ntLoopGroup-7-5] com.tsinghua.course.CourseApplication : null-USER_AVATAR-{"avatar":"file-IMG_20210611_053219.jpg","bizType":"USER_AVATAR"}-UserWarn002-com.tsinghua.course.Biz.Controller.UserController$$EnhancerBySpringCGLIB$$7da12d1f#userUploadAvatar#-1/
2021-06-13 00:38:59.106 -WARN 8558 [ntLoopGroup-7-6] com.tsinghua.course.CourseApplication : null-USER_AVATAR-{"avatar":"file-KakaoTalk_Photo_2021-06-11-22-42-21-6.jpeg","bizType":"USER_AVATAR"}-UserWarn002-com.tsinghua.course.Biz.Controller.UserController$$EnhancerBySpringCGLIB$$7da12d1f#userUploadAvatar#-1/
2021-06-13 00:39:49.997 -WARN 8558 [ntLoopGroup-7-9] com.tsinghua.course.CourseApplication : null-USER_AVATAR-{"avatar":"file-IMG_20210611_053219.jpg","bizType":"USER_AVATAR"}-UserWarn002-com.tsinghua.course.Biz.Controller.UserController$$EnhancerBySpringCGLIB$$7da12d1f#userUploadAvatar#-1/
2021-06-13 01:21:15.655 -WARN 1060 [tLoopGroup-7-14] com.tsinghua.course.CourseApplication : null-USER_AVATAR-{"avatar":"file-IMG_20210613_011314.jpg","bizType":"USER_AVATAR"}-UserWarn002-com.tsinghua.course.Biz.Controller.UserController$$EnhancerBySpringCGLIB$$ccd84acd#userUploadAvatar#-1/
2021-06-13 01:22:31.866 -WARN 1343 [ntLoopGroup-6-5] com.tsinghua.course.CourseApplication : null-USER_AVATAR-{"avatar":"file-IMG_20210613_011314.jpg","bizType":"USER_AVATAR"}-UserWarn002-com.tsinghua.course.Biz.Controller.UserController$$EnhancerBySpringCGLIB$$e1ccb21b#userUploadAvatar#-1/
2021-06-13 01:48:34.747 -WARN 1421 [ntLoopGroup-6-5] com.tsinghua.course.CourseApplication : null-USER_AVATAR-{"avatar":"file-IMG_20210613_011314.jpg","bizType":"USER_AVATAR"}-UserWarn002-com.tsinghua.course.Biz.Controller.UserController$$EnhancerBySpringCGLIB$$7da12d1f#userUploadAvatar#-1/
2021-06-13 01:49:24.034 -WARN 1421 [ntLoopGroup-6-8] com.tsinghua.course.CourseApplication : null-USER_AVATAR-{"avatar":"file-IMG_20210613_011314.jpg","bizType":"USER_AVATAR"}-UserWarn002-com.tsinghua.course.Biz.Controller.UserController$$EnhancerBySpringCGLIB$$7da12d1f#userUploadAvatar#-1/
2021-06-13 01:51:11.126 -WARN 1468 [ntLoopGroup-7-5] com.tsinghua.course.CourseApplication : null-USER_AVATAR-{"avatar":"file-IMG_20210613_011314.jpg","bizType":"USER_AVATAR"}-UserWarn002-com.tsinghua.course.Biz.Controller.UserController$$EnhancerBySpringCGLIB$$614d9e22#userUploadAvatar#-1/
